,Age 0,Age 1,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8,Age 9,Age 10,Age 11,Age 12,Age 13,Age 14
Age 0,5.64E-05,0.999944,0,0,0,0,0,0,0,0,0,0,0,0,0
Age 1,6.86E-62,0.944489,0.0555114,0,0,0,0,0,0,0,0,0,0,0,0
Age 2,1.70E-14,0.000314197,0.858346,0.14134,2.37E-08,0,0,0,0,0,0,0,0,0,0
Age 3,5.33E-13,2.80E-06,0.0367306,0.812128,0.151069,6.88E-05,5.68E-11,0,0,0,0,0,0,0,0
Age 4,3.26E-14,1.71E-08,0.000318214,0.108795,0.728083,0.16205,0.000753426,6.18E-08,1.64E-13,0,0,0,0,0,0
Age 5,1.66E-16,3.82E-11,1.03E-06,0.00183009,0.153898,0.660192,0.181489,0.00258783,1.73E-06,7.43E-11,3.33E-16,0,0,0,0
Age 6,1.41E-19,2.45E-14,1.01E-09,6.05E-06,0.00354312,0.162808,0.612821,0.214541,0.00626696,1.42E-05,3.05E-09,9.00E-14,0,0,0
Age 7,2.52E-23,3.97E-18,2.47E-13,3.95E-09,1.10E-05,0.00386071,0.143515,0.572151,0.266664,0.0137252,7.36E-05,4.66E-08,4.63E-12,1.11E-16,0
Age 8,1.11E-27,1.61E-22,1.37E-17,4.77E-13,4.70E-09,9.27E-06,0.00277254,0.10654,0.518842,0.341794,0.029718,0.000323422,4.76E-07,1.18E-10,6.77E-15
Age 9,1.47E-32,1.76E-27,1.74E-22,1.05E-17,2.75E-13,2.24E-09,4.16E-06,0.00134587,0.064196,0.433424,0.434826,0.064831,0.0013683,4.26E-06,2.31E-09
Age 10,7.55E-38,6.33E-33,5.84E-28,4.62E-23,2.36E-18,5.69E-14,4.74E-10,1.01E-06,0.00042302,0.029212,0.309293,0.516476,0.138789,0.00576877,3.74E-05
Age 11,2.08E-43,1.01E-38,6.74E-34,5.17E-29,3.61E-24,1.76E-19,4.48E-15,4.41E-11,1.25E-07,7.87E-05,0.00903174,0.169943,0.523853,0.273182,0.0239115
Age 12,4.45E-49,1.02E-44,3.86E-40,2.09E-35,1.38E-30,8.97E-26,4.49E-21,1.32E-16,1.69E-12,7.16E-09,7.63E-06,0.00164867,0.0625926,0.400912,0.534839
Age 13,1.10E-54,1.01E-50,1.70E-46,4.87E-42,2.12E-37,1.20E-32,7.33E-28,3.87E-23,1.37E-18,2.44E-14,1.66E-10,3.29E-07,0.000149038,0.0129222,0.986928
Age 14,4.50E-60,1.47E-56,9.25E-53,1.09E-48,2.26E-44,7.53E-40,3.54E-35,1.99E-30,1.10E-25,4.67E-21,1.18E-16,1.35E-12,5.25E-09,5.42E-06,0.999995
