"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"CV",0.0692216,0.0692216,0.104713,0.117769,0.122573,0.12434,0.12499,0.125229,0.125317,0.125349,0.125361,0.125365,0.125367,0.125368,0.125368
"SD",0.0692216,0.0692216,0.209426,0.353308,0.49029,0.621698,0.749938,0.876601,1.00253,1.12814,1.25361,1.37902,1.5044,1.62978,1.75515
"Expected_age",0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5
