"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14"
"Reader",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"CV",0.231711,0.231711,0.115856,0.0772371,0.0579278,0.0463423,0.0386186,0.0331017,0.0289643,0.0257491,0.0232056,0.0214176,0.02295,0.0556449,0.411783
"SD",0.231711,0.231711,0.231711,0.231711,0.231711,0.231711,0.231711,0.231712,0.231714,0.231742,0.232056,0.235593,0.2754,0.723384,5.76496
"Expected_age",0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5
