"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"CV",0.248007,0.248007,0.211343,0.185741,0.167865,0.155382,0.146666,0.140579,0.136329,0.133362,0.13129,0.129843,0.128832,0.128127,0.127634
"SD",0.248007,0.248007,0.422685,0.557224,0.671458,0.776909,0.879993,0.984054,1.09063,1.20026,1.3129,1.42827,1.54599,1.66565,1.78688
"Expected_age",0.514451,1.54335,2.57226,3.60116,4.63006,5.65896,6.68786,7.71677,8.74567,9.77457,10.8035,11.8324,12.8613,13.8902,14.9191
