"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"CV",0.110719,0.110719,0.110719,0.110719,0.110719,0.110719,0.110719,0.110719,0.110719,0.110719,0.110719,0.110719,0.110719,0.110719,0.110719
"SD",0.110719,0.110719,0.221438,0.332157,0.442876,0.553595,0.664314,0.775033,0.885752,0.99647,1.10719,1.21791,1.32863,1.43935,1.55007
"Expected_age",0.108715,1.23776,2.3436,3.42671,4.48756,5.52661,6.5443,7.54107,8.51736,9.47358,10.4101,11.3275,12.2259,13.1059,13.9678
