"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"CV",0.199977,0.199977,0.145318,0.122887,0.108953,0.098721,0.0905572,0.0837356,0.0778737,0.072744,0.0681983,0.0641334,0.0604732,0.0571595,0.054146
"SD",0.199977,0.199977,0.290637,0.368662,0.435813,0.493605,0.543343,0.586149,0.62299,0.654696,0.681983,0.705467,0.725679,0.743073,0.758044
"Expected_age",0.419632,1.44321,2.46468,3.48403,4.50129,5.51644,6.52951,7.54048,8.54936,9.55616,10.5609,11.5635,12.5641,13.5626,14.5591
