"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"CV",0.244578,0.244578,0.145641,0.113348,0.0977372,0.0888192,0.0832638,0.0796445,0.0772488,0.0756813,0.0747052,0.0741704,0.0739772,0.0740569,0.0743612
"SD",0.244578,0.244578,0.291283,0.340043,0.390949,0.444096,0.499583,0.557512,0.617991,0.681132,0.747052,0.815874,0.887726,0.96274,1.04106
"Expected_age",0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5
