"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14"
"Reader",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"CV",0.201292,0.201292,0.152823,0.123878,0.106592,0.09627,0.0901056,0.0864244,0.084226,0.0829132,0.0821292,0.081661,0.0813814,0.0812144,0.0811147
"SD",0.201292,0.201292,0.305645,0.371633,0.42637,0.48135,0.540634,0.604971,0.673808,0.746218,0.821292,0.898271,0.976577,1.05579,1.13561
"Expected_age",0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5
