"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"CV",0.138598,0.138598,0.126913,0.117533,0.110003,0.103958,0.0991057,0.0952101,0.0920829,0.0895725,0.0875572,0.0859393,0.0846406,0.083598,0.082761
"SD",0.138598,0.138598,0.253826,0.352599,0.440013,0.519792,0.594634,0.666471,0.736663,0.806152,0.875572,0.945333,1.01569,1.08677,1.15865
"Expected_age",0.894005,1.78252,2.69357,3.62774,4.58561,5.56777,6.57486,7.60749,8.66631,9.752,10.8652,12.0067,13.1771,14.3773,15.6078
