"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14"
"Reader",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"CV",0.212661,0.212661,0.153938,0.122268,0.100818,0.0851688,0.0733022,0.0640655,0.0567262,0.0507912,0.045917,0.041858,0.0384353,0.0355161,0.0330007
"SD",0.212661,0.212661,0.307875,0.366803,0.403273,0.425844,0.439813,0.448459,0.453809,0.457121,0.45917,0.460439,0.461224,0.461709,0.46201
"Expected_age",0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5
