,Age 0,Age 1,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8,Age 9,Age 10,Age 11,Age 12,Age 13,Age 14,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20
Reader,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
True_Age,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
CV,0.20102,0.20102,0.152834,0.123946,0.106627,0.096244,0.0900193,0.0862875,0.0840503,0.082709,0.0819049,0.0814228,0.0811338,0.0809605,0.0808566,0.0807944,0.080757,0.0807347,0.0807212,0.0807132,0.0807084
SD,0.20102,0.20102,0.305668,0.371837,0.426508,0.48122,0.540116,0.604013,0.672402,0.744381,0.819049,0.895651,0.973605,1.05249,1.13199,1.21192,1.29211,1.37249,1.45298,1.53355,1.61417
Expected_age,0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5
