"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14"
"Reader",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"CV",0.001,0.001,0.00200891,0.00362077,0.00659647,0.0123188,0.0235744,0.0460794,0.0916646,0.184993,0.377789,0.779102,1.61992,3.39156,7.14286
"SD",0.001,0.001,0.00401781,0.0108623,0.0263859,0.0615938,0.141447,0.322556,0.733317,1.66494,3.77789,8.57013,19.4391,44.0903,100
"Expected_age",0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5
