"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"CV",0.00100001,0.00100001,0.0212054,0.0399368,0.0573016,0.0733996,0.0883232,0.102158,0.114984,0.126874,0.137896,0.148114,0.157587,0.166369,0.17451
"SD",0.00100001,0.00100001,0.0424109,0.11981,0.229206,0.366998,0.529939,0.715107,0.919869,1.14186,1.37896,1.62926,1.89105,2.1628,2.44314
"Expected_age",-0.459374,0.794479,2.00579,3.176,4.30651,5.39866,6.45375,7.47304,8.45775,9.40905,10.3281,11.2159,12.0736,12.9022,13.7028
