"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"CV",0.123378,0.123378,0.123378,0.123378,0.123378,0.123378,0.123378,0.123378,0.123378,0.123378,0.123378,0.123378,0.123378,0.123378,0.123378
"SD",0.123378,0.123378,0.246756,0.370134,0.493512,0.616889,0.740267,0.863645,0.987023,1.1104,1.23378,1.35716,1.48053,1.60391,1.72729
"Expected_age",0.498893,1.49668,2.49446,3.49225,4.49003,5.48782,6.48561,7.48339,8.48118,9.47896,10.4767,11.4745,12.4723,13.4701,14.4679
