"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14"
"Reader",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"CV",0.001,0.001,0.0022844,0.00417094,0.007549,0.0139116,0.0261962,0.0503162,0.0982949,0.19475,0.390391,0.790212,1.6126,3.31365,6.84938
"SD",0.001,0.001,0.0045688,0.0125128,0.030196,0.0695581,0.157177,0.352214,0.786359,1.75275,3.90391,8.69233,19.3512,43.0775,95.8914
"Expected_age",0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5
