"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20"
"Reader",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"CV",0.116328,0.116328,0.116328,0.116328,0.116328,0.116328,0.116328,0.116328,0.116328,0.116328,0.116328,0.116328,0.116328,0.116328,0.116328,0.116328,0.116328,0.116328,0.116328,0.116328,0.116328
"SD",0.116328,0.116328,0.232656,0.348984,0.465312,0.58164,0.697968,0.814296,0.930624,1.04695,1.16328,1.27961,1.39594,1.51226,1.62859,1.74492,1.86125,1.97758,2.0939,2.21023,2.32656
"Expected_age",0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5
