"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20"
"Reader",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"CV",0.199866,0.199866,0.152263,0.123659,0.106471,0.0961422,0.089936,0.0862068,0.0839659,0.0826193,0.0818102,0.081324,0.0810319,0.0808563,0.0807508,0.0806874,0.0806493,0.0806264,0.0806127,0.0806044,0.0805995
"SD",0.199866,0.199866,0.304526,0.370976,0.425882,0.480711,0.539616,0.603447,0.671727,0.743574,0.818102,0.894564,0.972382,1.05113,1.13051,1.21031,1.29039,1.37065,1.45103,1.53148,1.61199
"Expected_age",0.498131,1.49439,2.49066,3.48692,4.48318,5.47944,6.47571,7.47197,8.46823,9.46449,10.4608,11.457,12.4533,13.4495,14.4458,15.4421,16.4383,17.4346,18.4309,19.4271,20.4234
