"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"CV",0.0568105,0.0568105,0.0568105,0.0568105,0.0568105,0.0568105,0.0568105,0.0568105,0.0568105,0.0568105,0.0568105,0.0568105,0.0568105,0.0568105,0.0568105
"SD",0.0568105,0.0568105,0.113621,0.170431,0.227242,0.284052,0.340863,0.397673,0.454484,0.511294,0.568105,0.624915,0.681726,0.738536,0.795347
"Expected_age",0.127397,1.12852,2.1585,3.21816,4.30836,5.42998,6.58392,7.77112,8.99253,10.2491,11.542,12.872,14.2405,15.6483,17.0967
