"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"CV",0.116328,0.116328,0.116328,0.116328,0.116328,0.116328,0.116328,0.116328,0.116328,0.116328,0.116328,0.116328,0.116328,0.116328,0.116328,0.116328,0.116328,0.116328,0.116328,0.116328,0.116328
"SD",0.116328,0.116328,0.232657,0.348985,0.465313,0.581642,0.69797,0.814299,0.930627,1.04696,1.16328,1.27961,1.39594,1.51227,1.6286,1.74493,1.86125,1.97758,2.09391,2.21024,2.32657
"Expected_age",0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5
