"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20"
"Reader",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"CV",0.115277,0.115277,0.115277,0.115277,0.115277,0.115277,0.115277,0.115277,0.115277,0.115277,0.115277,0.115277,0.115277,0.115277,0.115277,0.115277,0.115277,0.115277,0.115277,0.115277,0.115277
"SD",0.115277,0.115277,0.230554,0.34583,0.461107,0.576384,0.691661,0.806938,0.922215,1.03749,1.15277,1.26805,1.38332,1.4986,1.61388,1.72915,1.84443,1.95971,2.07498,2.19026,2.30554
"Expected_age",0.49573,1.48719,2.47865,3.47011,4.46157,5.45304,6.4445,7.43596,8.42742,9.41888,10.4103,11.4018,12.3933,13.3847,14.3762,15.3676,16.3591,17.3506,18.342,19.3335,20.3249
