"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20"
"Reader",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"CV",0.213554,0.213554,0.147035,0.122169,0.107917,0.0980582,0.0905047,0.0843531,0.0791441,0.0746166,0.0706091,0.0670151,0.0637601,0.06079,0.0580639,0.0555498,0.0532224,0.0510606,0.0490471,0.0471673,0.0454086
"SD",0.213554,0.213554,0.294071,0.366506,0.431669,0.490291,0.543028,0.590472,0.633153,0.671549,0.706091,0.737166,0.765121,0.79027,0.812894,0.833247,0.851558,0.86803,0.882848,0.896179,0.908172
"Expected_age",0.498061,1.49418,2.4903,3.48643,4.48255,5.47867,6.47479,7.47091,8.46703,9.46316,10.4593,11.4554,12.4515,13.4476,14.4438,15.4399,16.436,17.4321,18.4283,19.4244,20.4205
