"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",13,14,15,16,17,18,19,20,21,22,23,24,25
"CV",0.0553501,0.0554505,0.0557117,0.0561111,0.0566316,0.0572605,0.0579877,0.0588059,0.0597092,0.060693,0.0617542,0.0628902,0.0640992
"SD",0.719552,0.776307,0.835676,0.897777,0.962737,1.03069,1.10177,1.17612,1.25389,1.33525,1.42035,1.50936,1.60248
"Expected_age",13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5
