"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"CV",0.00100001,0.00100001,0.01253,0.0242652,0.036209,0.0483654,0.060738,0.0733307,0.0861474,0.0991921,0.112469,0.125982,0.139735,0.153733,0.16798
"SD",0.00100001,0.00100001,0.0250601,0.0727955,0.144836,0.241827,0.364428,0.513315,0.689179,0.892729,1.12469,1.3858,1.67682,1.99853,2.35172
"Expected_age",4.55471e-05,1.00317,2.021,3.05377,4.10168,5.16497,6.24385,7.33856,8.44933,9.57639,10.72,11.8804,13.0577,14.2524,15.4646
