"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"CV",0.214989,0.214989,0.147575,0.122449,0.108093,0.0981882,0.0906152,0.0844574,0.0792492,0.0747261,0.0707248,0.0671375,0.0638894,0.0609258,0.0582056,0.0556968,0.053374,0.0512161,0.0492059,0.0473287,0.045572
"SD",0.214989,0.214989,0.295149,0.367347,0.432373,0.490941,0.543691,0.591202,0.633994,0.672535,0.707248,0.738513,0.766672,0.792035,0.814878,0.835453,0.853983,0.870673,0.885706,0.899245,0.911439
"Expected_age",0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5
