,Age 0,Age 1,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8,Age 9,Age 10,Age 11,Age 12,Age 13,Age 14
Age 0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age 1,0.0527235,0.947277,0,0,0,0,0,0,0,0,0,0,0,0,0
Age 2,2.64E-11,0.152299,0.847699,1.49E-06,0,0,0,0,0,0,0,0,0,0,0
Age 3,4.72E-16,2.40E-06,0.212781,0.786026,0.00119109,1.41E-11,0,0,0,0,0,0,0,0,0
Age 4,1.46E-18,2.31E-10,0.000219473,0.255032,0.731761,0.0129874,2.58E-07,1.29E-14,0,0,0,0,0,0,0
Age 5,4.67E-20,3.81E-13,1.96E-07,0.00217342,0.286958,0.671215,0.0396241,2.92E-05,3.20E-10,1.11E-16,0,0,0,0,0
Age 6,5.08E-21,4.25E-15,6.67E-10,1.00E-05,0.00840817,0.309965,0.608719,0.0725008,0.000397436,1.03E-07,1.91E-12,0,0,0,0
Age 7,1.13E-21,1.65E-16,7.95E-12,8.23E-08,0.000123646,0.0202623,0.324497,0.550001,0.103178,0.0019347,3.65E-06,8.58E-10,3.54E-14,0,0
Age 8,3.99E-22,1.47E-17,2.49E-13,1.46E-09,2.21E-06,0.000686614,0.0372368,0.331692,0.497533,0.127422,0.00538931,3.82E-05,5.08E-08,1.57E-11,1.44E-15
Age 9,1.90E-22,2.33E-18,1.62E-14,5.17E-11,6.20E-08,2.32E-05,0.00234292,0.0576905,0.333086,0.451628,0.144257,0.0107798,0.000191993,8.78E-07,1.17E-09
Age 10,1.12E-22,5.62E-19,1.82E-15,3.28E-12,2.82E-09,1.01E-06,0.000132976,0.0058239,0.0796652,0.330162,0.411696,0.154429,0.0174743,0.000608457,6.89E-06
Age 11,7.77E-23,1.84E-19,3.10E-16,3.31E-13,2.00E-10,6.11E-08,8.55E-06,0.000503288,0.0116514,0.101431,0.324151,0.376894,0.159292,0.0246189,0.00144961
Age 12,6.03E-23,7.63E-20,7.33E-17,4.89E-14,2.07E-11,5.13E-09,6.82E-07,4.54E-05,0.00142132,0.0199636,0.121716,0.315999,0.346399,0.160211,0.0342444
Age 13,5.13E-23,3.79E-20,2.24E-17,9.79E-15,2.97E-12,5.83E-10,6.93E-08,4.69E-06,0.000171566,0.0032406,0.0305149,0.139725,0.306404,0.319487,0.200451
Age 14,4.68E-23,2.18E-20,8.37E-18,2.52E-15,5.59E-13,8.68E-11,8.91E-09,5.76E-07,2.24E-05,0.000502674,0.00629215,0.0427869,0.155058,0.295875,0.499463
