"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14"
"Reader",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"CV",0.185064,0.185064,0.132272,0.108249,0.0973164,0.0923416,0.0900777,0.0890475,0.0885787,0.0883653,0.0882683,0.0882241,0.088204,0.0881948,0.0881907
"SD",0.185064,0.185064,0.264545,0.324746,0.389266,0.461708,0.540466,0.623332,0.708629,0.795288,0.882683,0.970465,1.05845,1.14653,1.23467
"Expected_age",0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5
