"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"CV",0.121282,0.121282,0.121282,0.121282,0.121282,0.121282,0.121282,0.121282,0.121282,0.121282,0.121282,0.121282,0.121271,0.12017,0.00881241
"SD",0.121282,0.121282,0.242565,0.363847,0.48513,0.606412,0.727694,0.848977,0.970259,1.09154,1.21282,1.33411,1.45526,1.56221,0.123374
"Expected_age",0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5
