"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"CV",0.117263,0.117263,0.117263,0.117263,0.117263,0.117263,0.117263,0.117263,0.117263,0.117263,0.117263,0.117263,0.117263,0.117263,0.117263
"SD",0.117263,0.117263,0.234527,0.35179,0.469053,0.586316,0.70358,0.820843,0.938106,1.05537,1.17263,1.2899,1.40716,1.52442,1.64169
"Expected_age",0.51337,1.54011,2.56685,3.59359,4.62033,5.64707,6.6738,7.70054,8.72728,9.75402,10.7808,11.8075,12.8342,13.861,14.8877
