"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20"
"Reader",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"CV",0.205249,0.205249,0.153462,0.12338,0.105907,0.0957569,0.0898611,0.0864365,0.0844472,0.0832917,0.0826205,0.0822306,0.0820041,0.0818726,0.0817961,0.0817518,0.081726,0.081711,0.0817023,0.0816972,0.0816943
"SD",0.205249,0.205249,0.306924,0.370141,0.423627,0.478784,0.539167,0.605055,0.675578,0.749625,0.826205,0.904536,0.984049,1.06434,1.14515,1.22628,1.30762,1.38909,1.47064,1.55225,1.63389
"Expected_age",0.575313,1.55107,2.5281,3.50641,4.486,5.46687,6.44903,7.43248,8.41721,9.40324,10.3906,11.3792,12.3691,13.3603,14.3528,15.3466,16.3417,17.3381,18.3358,19.3348,20.3351
