"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20"
"Reader",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"CV",0.114022,0.114022,0.114022,0.114022,0.114022,0.114022,0.114022,0.114022,0.114022,0.114022,0.114022,0.114022,0.114022,0.114022,0.114022,0.114022,0.114022,0.114022,0.114022,0.114022,0.114022
"SD",0.114022,0.114022,0.228045,0.342067,0.456089,0.570112,0.684134,0.798157,0.912179,1.0262,1.14022,1.25425,1.36827,1.48229,1.59631,1.71034,1.82436,1.93838,2.0524,2.16642,2.28045
"Expected_age",0.265383,1.34186,2.40175,3.4453,4.47277,5.4844,6.48045,7.46114,8.42672,9.37742,10.3135,11.2351,12.1425,13.0359,13.9156,14.7817,15.6345,16.4741,17.3007,18.1147,18.9161
