"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"CV",0.114022,0.114022,0.114022,0.114022,0.114022,0.114022,0.114022,0.114022,0.114022,0.114022,0.114022,0.114022,0.114022,0.114022,0.114022,0.114022,0.114022,0.114022,0.114022,0.114022,0.114022
"SD",0.114022,0.114022,0.228045,0.342067,0.456089,0.570112,0.684134,0.798157,0.912179,1.0262,1.14022,1.25425,1.36827,1.48229,1.59631,1.71034,1.82436,1.93838,2.0524,2.16642,2.28045
"Expected_age",0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5
