"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"CV",0.0949631,0.0949631,0.0949631,0.0949631,0.0949631,0.0949631,0.0949631,0.0949631,0.0949631,0.0949631,0.0949631,0.0949631,0.0949631,0.0949631,0.0949631
"SD",0.0949631,0.0949631,0.189926,0.284889,0.379852,0.474815,0.569778,0.664741,0.759704,0.854667,0.949631,1.04459,1.13956,1.23452,1.32948
"Expected_age",0.503191,1.50957,2.51595,3.52234,4.52872,5.5351,6.54148,7.54786,8.55424,9.56062,10.567,11.5734,12.5798,13.5861,14.5925
