,Age 0,Age 1,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8,Age 9,Age 10,Age 11,Age 12,Age 13,Age 14,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20
Reader,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
True_Age,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
CV,0.236266,0.236266,0.16249,0.125009,0.105968,0.0962934,0.0913786,0.0888816,0.0876131,0.0869686,0.0866412,0.0864748,0.0863903,0.0863474,0.0863256,0.0863145,0.0863089,0.086306,0.0863046,0.0863038,0.0863034
SD,0.236266,0.236266,0.324981,0.375028,0.42387,0.481467,0.548272,0.622172,0.700905,0.782717,0.866412,0.951223,1.03668,1.12252,1.20856,1.29472,1.38094,1.4672,1.55348,1.63977,1.72607
Expected_age,0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5
