,Age 0,Age 1,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8,Age 9,Age 10,Age 11,Age 12,Age 13,Age 14,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20
Reader,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
True_Age,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
CV,0.149262,0.149262,0.135105,0.121979,0.109807,0.0985209,0.0880558,0.078352,0.0693542,0.0610109,0.0532746,0.0461011,0.0394495,0.0332818,0.0275627,0.0222598,0.0173426,0.0127831,0.00855533,0.00463512,0.00100011
SD,0.149262,0.149262,0.270211,0.365936,0.439228,0.492605,0.528335,0.548464,0.554833,0.549098,0.532746,0.507112,0.473394,0.432663,0.385878,0.333896,0.277481,0.217313,0.153996,0.0880674,0.0200022
Expected_age,0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5
