"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14"
"Reader",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"CV",0.20763,0.20763,0.13035,0.106695,0.096635,0.0921804,0.0906855,0.0910325,0.0926778,0.0953353,0.0988488,0.103135,0.108155,0.113898,0.120374
"SD",0.20763,0.20763,0.2607,0.320086,0.38654,0.460902,0.544113,0.637227,0.741423,0.858018,0.988488,1.13449,1.29786,1.48067,1.68524
"Expected_age",0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5
