"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14"
"Reader",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"CV",0.001,0.001,0.139679,0.144323,0.129435,0.112904,0.0983897,0.0863693,0.0765558,0.0685317,0.061918,0.0564092,0.0517692,0.0478179,0.0444182
"SD",0.001,0.001,0.279358,0.43297,0.517741,0.564522,0.590338,0.604585,0.612447,0.616785,0.61918,0.620501,0.62123,0.621632,0.621855
"Expected_age",0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5
