"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"CV",0.201041,0.201041,0.152832,0.12394,0.106625,0.0962488,0.0900301,0.0863033,0.0840698,0.0827313,0.0819292,0.0814484,0.0811603,0.0809877,0.0808842,0.0808222,0.080785,0.0807627,0.0807494,0.0807414,0.0807366
"SD",0.201041,0.201041,0.305663,0.37182,0.426502,0.481244,0.540181,0.604123,0.672559,0.744582,0.819292,0.895933,0.973924,1.05284,1.13238,1.21233,1.29256,1.37297,1.45349,1.53409,1.61473
"Expected_age",0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5
