"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14"
"Reader",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"CV",0.126851,0.126851,0.134569,0.123026,0.109818,0.0977153,0.0872011,0.0782185,0.0705767,0.0640682,0.0585042,0.0537238,0.0495933,0.0460031,0.0428637
"SD",0.126851,0.126851,0.269138,0.369077,0.439273,0.488576,0.523206,0.54753,0.564614,0.576614,0.585042,0.590962,0.59512,0.59804,0.600091
"Expected_age",0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5
