"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"CV",0.0928138,0.0928138,0.0928138,0.0928138,0.0928138,0.0928138,0.0928138,0.0928138,0.0928138,0.0928138,0.0928138,0.0928138,0.0928138,0.0928138,0.0928138
"SD",0.0928138,0.0928138,0.185628,0.278441,0.371255,0.464069,0.556883,0.649696,0.74251,0.835324,0.928138,1.02095,1.11377,1.20658,1.29939
"Expected_age",0.435034,1.47055,2.49962,3.52229,4.53861,5.54861,6.55232,7.5498,8.54107,9.52618,10.5052,11.4781,12.4449,13.4058,14.3606
