"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"CV",0.133723,0.133723,0.119516,0.106124,0.0935019,0.0816041,0.0703895,0.0598187,0.0498549,0.0404632,0.0316107,0.0232665,0.0154014,0.00798786,0.00100001
"SD",0.133723,0.133723,0.239032,0.318373,0.374008,0.408021,0.422337,0.418731,0.398839,0.364169,0.316107,0.255931,0.184817,0.103842,0.0140001
"Expected_age",0.495573,1.48131,2.4772,3.48335,4.49986,5.52684,6.5644,7.61264,8.67167,9.74162,10.8226,11.9147,13.018,14.1327,15.2589
