"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14"
"Reader",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"CV",0.287691,0.287691,0.155676,0.112857,0.0924705,0.0811807,0.0745569,0.070716,0.0687314,0.0681041,0.0685511,0.069909,0.0720869,0.0750408,0.0787595
"SD",0.287691,0.287691,0.311351,0.33857,0.369882,0.405903,0.447342,0.495012,0.549851,0.612937,0.685511,0.768999,0.865043,0.97553,1.10263
"Expected_age",0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5
