"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"CV",0.196163,0.196163,0.135434,0.108717,0.0969632,0.0917922,0.0895172,0.0885163,0.088076,0.0878823,0.087797,0.0877596,0.0877431,0.0877358,0.0877326
"SD",0.196163,0.196163,0.270869,0.326152,0.387853,0.458961,0.537103,0.619614,0.704608,0.79094,0.87797,0.965355,1.05292,1.14057,1.22826
"Expected_age",0.505116,1.51535,2.52558,3.53581,4.54604,5.55627,6.56651,7.57674,8.58697,9.5972,10.6074,11.6177,12.6279,13.6381,14.6484
