"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"CV",0.118466,0.118466,0.118466,0.118466,0.118466,0.118466,0.118466,0.118466,0.118466,0.118466,0.118466,0.118466,0.118466,0.118466,0.118466
"SD",0.118466,0.118466,0.236931,0.355397,0.473863,0.592329,0.710794,0.82926,0.947726,1.06619,1.18466,1.30312,1.42159,1.54005,1.65852
"Expected_age",-0.189211,1.14515,2.3619,3.47139,4.48309,5.40561,6.24681,7.01386,7.7133,8.35109,8.93266,9.46296,9.94652,10.3875,10.7895
