"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",13,14,15,16,17,18,19,20,21,22,23,24,25
"CV",0.0664548,0.0664548,0.0664548,0.0664548,0.0664548,0.0664548,0.0664548,0.0664548,0.0664548,0.0664548,0.0664548,0.0664548,0.0664548
"SD",0.863912,0.930367,0.996822,1.06328,1.12973,1.19619,1.26264,1.3291,1.39555,1.462,1.52846,1.59491,1.66137
"Expected_age",13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5
