"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"CV",0.0637122,0.0637122,0.106937,0.118985,0.123321,0.124637,0.124493,0.123556,0.122158,0.120482,0.118635,0.116687,0.114682,0.112649,0.110609
"SD",0.0637122,0.0637122,0.213875,0.356954,0.493285,0.623185,0.746957,0.864892,0.977263,1.08433,1.18635,1.28356,1.37618,1.46444,1.54853
"Expected_age",0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5
