"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"CV",0.104926,0.104926,0.0993309,0.0936925,0.0880102,0.0822837,0.0765126,0.0706965,0.0648352,0.0589282,0.0529752,0.0469759,0.0409298,0.0348367,0.0286962
"SD",0.104926,0.104926,0.198662,0.281077,0.352041,0.411418,0.459075,0.494876,0.518681,0.530354,0.529752,0.516735,0.491158,0.452877,0.401746
"Expected_age",0.369389,1.35314,2.36256,3.39832,4.46109,5.55158,6.67053,7.81866,8.99675,10.2056,11.4459,12.7186,14.0245,15.3645,16.7395
