"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"CV",0.096325,0.096325,0.128718,0.115031,0.0981968,0.0837474,0.0721426,0.0629339,0.0555896,0.0496657,0.0448229,0.0408092,0.037439,0.0345744,0.0321126
"SD",0.096325,0.096325,0.257435,0.345094,0.392787,0.418737,0.432856,0.440538,0.444717,0.446991,0.448229,0.448902,0.449268,0.449467,0.449576
"Expected_age",1.03506,1.84795,2.7026,3.60116,4.54589,5.53917,6.58347,7.68144,8.83582,10.0495,11.3256,12.6672,14.0777,15.5608,17.12
