"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"CV",0.001,0.001,0.0321849,0.0450148,0.0534664,0.0603544,0.0666353,0.0727361,0.0788871,0.0852331,0.0918776,0.0989034,0.106383,0.114385,0.122976
"SD",0.001,0.001,0.0643699,0.135044,0.213865,0.301772,0.399812,0.509153,0.631097,0.767098,0.918776,1.08794,1.2766,1.487,1.72167
"Expected_age",-0.0481774,1.00345,2.05448,3.10491,4.15473,5.20395,6.25257,7.30059,8.348,9.39482,10.441,11.4867,12.5317,13.5761,14.6199
