,Age 0,Age 1,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8,Age 9,Age 10,Age 11,Age 12,Age 13,Age 14
Age 0,1,6.56E-08,0,0,0,0,0,0,0,0,0,0,0,0,0
Age 1,0.000200641,0.999799,6.26E-07,0,0,0,0,0,0,0,0,0,0,0,0
Age 2,6.61E-10,0.023071,0.96474,0.0121894,1.49E-10,0,0,0,0,0,0,0,0,0,0
Age 3,3.55E-12,1.12E-05,0.0719846,0.843451,0.0845371,1.61E-05,6.05E-12,0,0,0,0,0,0,0,0
Age 4,2.33E-13,5.28E-08,0.000506126,0.117485,0.709304,0.171564,0.00114051,1.78E-07,1.08E-12,0,0,0,0,0,0
Age 5,4.55E-14,1.41E-09,6.76E-06,0.00344797,0.15223,0.599556,0.236209,0.00852434,2.63E-05,8.17E-09,3.63E-13,0,0,0,0
Age 6,1.56E-14,1.10E-10,2.30E-07,0.000111858,0.0105502,0.175703,0.51502,0.272597,0.0255956,0.000420765,1.30E-06,8.85E-10,1.67E-13,0,0
Age 7,7.47E-15,1.71E-11,1.66E-08,5.90E-06,0.000663382,0.0214845,0.189698,0.449827,0.286879,0.0491364,0.00227572,2.97E-05,1.19E-07,1.65E-10,9.25E-14
Age 8,4.40E-15,4.17E-12,2.11E-09,5.08E-07,5.30E-05,0.0022098,0.0346178,0.196672,0.398693,0.287132,0.0735995,0.00678808,0.000231695,3.08E-06,1.72E-08
Age 9,2.98E-15,1.39E-12,4.03E-10,6.64E-08,5.80E-06,0.000252075,0.0051737,0.0482131,0.198818,0.357782,0.279547,0.0950307,0.0141964,0.000951339,3.00E-05
Age 10,2.24E-15,5.86E-13,1.05E-10,1.21E-08,8.56E-07,3.49E-05,0.000792625,0.00963149,0.0610195,0.197794,0.324424,0.268068,0.111774,0.0237075,0.00275252
Age 11,1.80E-15,2.91E-13,3.48E-11,2.91E-09,1.64E-07,5.99E-06,0.000136496,0.00188317,0.0153407,0.0723462,0.194765,0.296757,0.254995,0.123726,0.0400436
Age 12,1.53E-15,1.65E-13,1.38E-11,8.68E-10,3.94E-08,1.26E-06,2.73E-05,0.000392716,0.00367308,0.0218911,0.0819275,0.190515,0.27346,0.241603,0.186509
Age 13,1.36E-15,1.03E-13,6.37E-12,3.09E-10,1.14E-08,3.16E-07,6.34E-06,9.06E-05,0.000905192,0.00620943,0.0288471,0.0897599,0.185563,0.253581,0.435037
Age 14,1.25E-15,6.98E-14,3.29E-12,1.27E-10,3.88E-09,9.29E-08,1.70E-06,2.34E-05,0.00023852,0.00176925,0.0094391,0.0358335,0.095978,0.180251,0.676466
