"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"CV",0.0968322,0.0968322,0.0968322,0.0968322,0.0968322,0.0968322,0.0968322,0.0968322,0.0968322,0.0968322,0.0968322,0.0968322,0.0968322,0.0968322,0.0968322
"SD",0.0968322,0.0968322,0.193664,0.290497,0.387329,0.484161,0.580993,0.677826,0.774658,0.87149,0.968322,1.06515,1.16199,1.25882,1.35565
"Expected_age",0.469859,1.40958,2.34929,3.28901,4.22873,5.16845,6.10816,7.04788,7.9876,8.92732,9.86703,10.8068,11.7465,12.6862,13.6259
