"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"CV",0.27835,0.27835,0.209545,0.166589,0.139772,0.123029,0.112576,0.106051,0.101977,0.0994331,0.0978451,0.0968538,0.0962348,0.0958484,0.0956072
"SD",0.27835,0.27835,0.41909,0.499768,0.559086,0.615144,0.675458,0.742354,0.815812,0.894897,0.978451,1.06539,1.15482,1.24603,1.3385
"Expected_age",0.501818,1.50545,2.50909,3.51272,4.51636,5.51999,6.52363,7.52726,8.5309,9.53453,10.5382,11.5418,12.5454,13.5491,14.5527
