"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"CV",0.204449,0.204449,0.168197,0.137731,0.112127,0.0906102,0.072527,0.05733,0.0445584,0.0338251,0.0248048,0.0172242,0.0108535,0.0054995,0.00100001
"SD",0.204449,0.204449,0.336394,0.413193,0.44851,0.453051,0.435162,0.40131,0.356467,0.304426,0.248048,0.189466,0.130242,0.0714935,0.0140002
"Expected_age",0.842369,1.70712,2.60014,3.52235,4.4747,5.45819,6.47382,7.52266,8.60577,9.7243,10.8794,12.0722,13.3041,14.5762,15.8898
