"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14"
"Reader",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"CV",0.288496,0.288496,0.148452,0.103858,0.084295,0.0763731,0.0766415,0.085135,0.104182,0.138661,0.197132,0.293976,0.453072,0.713978,1.14226
"SD",0.288496,0.288496,0.296903,0.311575,0.33718,0.381865,0.459849,0.595945,0.833455,1.24795,1.97132,3.23374,5.43687,9.28172,15.9917
"Expected_age",0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5
