"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"CV",0.0616467,0.0616467,0.105287,0.119294,0.125897,0.129543,0.131712,0.13304,0.133845,0.134302,0.134518,0.13456,0.134473,0.134287,0.134026
"SD",0.0616467,0.0616467,0.210573,0.357882,0.503589,0.647713,0.790272,0.931281,1.07076,1.20872,1.34518,1.48016,1.61367,1.74574,1.87636
"Expected_age",0.506227,1.51868,2.53114,3.54359,4.55605,5.5685,6.58095,7.59341,8.60586,9.61832,10.6308,11.6432,12.6557,13.6681,14.6806
