"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"CV",0.213619,0.213619,0.168268,0.150496,0.139746,0.131903,0.125588,0.120207,0.115459,0.111173,0.107247,0.10361,0.100216,0.0970313,0.0940289
"SD",0.213619,0.213619,0.336537,0.451487,0.558985,0.659516,0.753529,0.841449,0.923669,1.00056,1.07247,1.13971,1.2026,1.26141,1.3164
"Expected_age",0.699681,1.68796,2.63922,3.55483,4.43615,5.28444,6.10096,6.88688,7.64336,8.3715,9.07236,9.74696,10.3963,11.0213,11.6229
